"","County","State","Pop2019","NumAbortions","PercentFemale","MedianIncome","PopFemale","abortionRate","abortPer1000","highlyRestrictive","PctDem","White","Hispanic","Black","Native","Asian","Pacific","Lon","Lat","distClinic","distMiles"
"1","Abbeville County","South Carolina",24527,33,0.516,46499,12655.932,0.00260747292257891,2.60747292257891,1,0.33,68.9,1.3,27.6,0.1,0.3,0,-82.4592,34.2226,149,59.1445437484457
"2","Adair County","Oklahoma",22194,5,0.501,39589,11119.194,0.000449672880966012,0.449672880966012,0,0.2,40.8,6.4,0.3,41.7,0.6,0.2,-94.6587,35.8839,507,57.8682691882343
"3","Adams County","Illinois",65435,56,0.508,55942,33240.98,0.00168466753988601,1.68466753988601,0,0.26,92,1.5,3.9,0.2,0.8,0.1,-91.1885,39.9879,437,15.5216227497267
"4","Adams County","Indiana",35777,10,0.5,53532,17888.5,0.000559018363753249,0.559018363753249,1,0.23,93.7,4.4,0.9,0,0.4,0,-84.9366,40.7457,327,57.8682691882343
"5","Adams County","Ohio",27698,13,0.504,43145,13959.792,0.00093124596698862,0.93124596698862,1,0.18,96.6,1,0.4,0.6,0.2,0,-83.472,38.8456,152,60.923383907266
"6","Adams County","Pennsylvania",103009,46,0.508,67706,52328.572,0.000879060869461525,0.879060869461525,1,0.32,89.5,6.8,1.4,0,0.7,0,-77.2179,39.8715,534,68.6220107804109
"7","Adams County","Washington",19983,20,0.493,53535,9851.619,0.00203012317061795,2.03012317061795,0,0.31,35.2,62.3,0.3,0.4,1,0,-118.5606,46.9834,28,60.923383907266
"8","Adams County","Wisconsin",20220,10,0.463,53156,9361.86,0.00106816380505583,1.06816380505583,0,0.37,90.7,3.8,2.7,0.6,0.5,0,-89.7704,43.9695,103,15.5216227497267
"9","Aiken County","South Carolina",170872,373,0.517,56824,88340.824,0.00422228345979657,4.22228345979657,1,0.38,66.7,5.5,24.5,0.2,1,0,-81.6347,33.5443,406,47.9314275616708
"10","Alamance County","North Carolina",169509,320,0.526,57963,89161.734,0.00358898358795938,3.58898358795938,0,0.45,65,12.3,18.9,0.3,1.5,0,-79.3994,36.0437,371,67.7322756578888
"11","Albany County","New York",305506,947,0.516,69408,157641.096,0.00600731677227111,6.00731677227111,0,0.65,73,5.7,11.7,0.1,6.4,0,-73.9736,42.6002,10,67.9517349578423
"12","Alcona County","Michigan",10405,12,0.496,41491,5160.88,0.00232518485219575,2.32518485219575,1,0.3,96,1.4,0.3,0.5,0.4,0,-83.5937,44.6854,418,36.5644292320912
"13","Alexander County","Illinois",5761,NA,0.516,37408,2972.676,NA,NA,0,0.43,61.8,1,34.6,0.6,0.2,0,-89.3375,37.1915,272,2.40806527247259
"14","Alexander County","North Carolina",37497,42,0.491,54960,18411.027,0.00228124156246145,2.28124156246145,0,0.2,87,4.6,5.9,0.2,1.2,0.1,-81.177,35.921,296,30.2476091284463
"15","Alfalfa County","Oklahoma",5702,0,0.403,57497,2297.906,0,0,0,0.1,76.2,5,2.4,1.9,0,0,-98.324,36.7311,450,2.1124459603436e-14
"16","Alger County","Michigan",9108,4,0.447,52285,4071.276,0.000982492957981724,0.982492957981724,1,0.4,84.2,1.4,7.2,3.3,0.1,0,-86.604,46.4086,148,58.5153186347934
"17","Allegan County","Michigan",118081,98,0.5,66568,59040.5,0.00165987754168749,1.65987754168749,1,0.36,88.7,7.2,1.3,0.5,0.6,0,-85.8884,42.5913,191,67.7322756578888
"18","Allegany County","New York",46091,61,0.492,49411,22676.772,0.00268997721545201,2.68997721545201,0,0.29,94.5,1.5,1.4,0.3,1.2,0,-78.0276,42.2574,471,24.7273885186257
"19","Alleghany County","North Carolina",11137,8,0.505,41420,5624.185,0.00142242831628049,1.42242831628049,0,0.24,87.3,9.4,2.4,0.1,0.2,0,-81.1279,36.4913,135,48.7903679018718
"20","Allegheny County","Pennsylvania",1216045,3007,0.517,64799,628695.265,0.00478292134107293,4.78292134107293,1,0.59,79.1,2,12.7,0.1,3.5,0,-79.9812,40.4688,12,67.4921844506326
"21","Allen County","Indiana",379299,319,0.511,56838,193821.789,0.00164584178923248,1.64584178923248,1,0.43,74.6,7.2,11.3,0.2,3.5,0,-85.0666,41.0909,191,67.7322756578888
"22","Allen County","Ohio",102351,98,0.496,58271,50766.096,0.00193042222510078,1.93042222510078,1,0.29,81.2,2.9,11.7,0.2,0.7,0,-84.1058,40.7715,250,23.5993898894711
"23","Allendale County","South Carolina",8688,18,0.473,32147,4109.424,0.00438017590786446,4.38017590786446,1,0.76,22.5,3.1,73.5,0.5,0,0,-81.3583,32.9881,406,47.9314275616708
