Name,Website,Phone,City,State,Full.Address,Date.Verified,Lon,Lat
Alabama Women's Center,http://www.alabamawomenscenter.com/,1 (866) 536-2231,Huntsville,Alabama,"4831 Sparkman Dr NW, Huntsville, Alabama",4/12/17,-86.63692574,34.75772898
Planned Parenthood- Birmingham Health Center***,https://www.plannedparenthood.org/health-center/alabama/birmingham/35205/birmingham-center-3253-90330,(205) 322-2121 ,Birmingham,Alabama,"1211 27th Pl S, Birmingham, Alabama",10/3/18,-86.783593,33.5033
Planned Parenthood- Moblie Health Center***,https://www.plannedparenthood.org/health-center/alabama/mobile/36609/mobile-center-2911-90330,(251) 342-6695 ,Mobile,Alabama,"717 Downtowner Loop W, Mobile, Alabama",10/3/18,-88.14405077,30.67450915
Reproductive Health Services of Montgomery**,https://www.rhs4choice.com/,(800) 277-0156 ,Montgomery,Alabama,"811 South Perry Street, Montgomery, Alabama",10/2/18,-86.30691478,32.36623878
West Alabama Women's Center Inc***,http://www.wa-wc.com/,1-800-616-2383,Tuscaloosa,Alabama,"535 Jack Warner Pkwy, Tuscaloosa, Alabama",10/3/18,-87.5302198,33.2192598
Planned Parenthood- Anchorage Health Center,https://www.plannedparenthood.org/health-center/alaska/anchorage/99508/anchorage-health-center-3254-91810,(800) 769-0045 ,Anchorage,Alaska,"4001 Lake Otis Pkwy, Anchorage, Alaska",3/9/17,-149.83804,61.1840571
Planned Parenthood- Fairbanks Health Center,https://www.plannedparenthood.org/health-center/alaska/fairbanks/99701/fairbanks-health-center-2603-91810,(800) 769-0045 ,Fairbanks,Alaska,"1867 Airport Way , Fairbanks, Alaska",3/9/17,-147.7447095,64.8368077
Planned Parenthood- Juneau Health Center,https://www.plannedparenthood.org/health-center/alaska/juneau/99801/juneau-health-center-3865-91810,(800) 769-0045 ,Juneau,Alaska,"3231 Glacier Hwy, Juneau, Alaska",3/9/17,-134.4722399,58.33014843
Planned Parenthood- Soldotna Health Center,https://www.plannedparenthood.org/health-center/alaska/soldotna/99669/soldotna-health-center-2604-91810,(800) 769-0045 ,Soldotna,Alaska,"130 E Redoubt Ave, Soldotna, Alaska",3/9/17,-151.0177984,60.48808984
Acacia Women's Center***,http://www.acaciawomenscenter.com/,(602) 462-5559 ,Phoenix,Arizona,"1615 E Osborn Rd, Phoenix, Arizona",3/1/18,-112.0541798,33.4874041
Camelback Family Planning***,https://www.camelbackfamilyplanning.com/,(877) 966-2337 ,Phoenix,Arizona,"4141 N 32nd St, Phoenix, Arizona",3/1/18,-112.0132767,33.6122241
Desert Star Family Planning***,http://www.desertstarfp.com/,(480) 447-8857 ,Phoenix,Arizona,"1526 W Glendale Ave, Phoenix, Arizona",3/1/18,-112.091609,33.53859044
Planned Parenthood- Flagstaff Health Center*,https://www.plannedparenthood.org/health-center/arizona/flagstaff/86001/flagstaff-health-center-2566-90030,(855) 207-7526 ,Flagstaff,Arizona,"2500 S Woodlands Village Blvd, Flagstaff, Arizona",3/1/18,-111.6672184,35.1782814
